Timeperiod,Direction,WeekDay,Hour,Count
Before times,From City,Friday,23,0.14285714285714285
Before times,From City,Saturday,0,0.06666666666666667
Before times,From City,Saturday,1,0.06666666666666667
Before times,From City,Saturday,2,0.2
Before times,From City,Saturday,3,0
Before times,From City,Saturday,4,0.06666666666666667
Before times,From City,Saturday,5,0.3333333333333333
Before times,From City,Saturday,6,4.333333333333333
Before times,From City,Saturday,7,8.733333333333333
Before times,From City,Saturday,8,12.2
Before times,From City,Saturday,9,17.666666666666668
Before times,From City,Saturday,10,23
Before times,From City,Saturday,11,19.066666666666666
Before times,From City,Saturday,12,14.666666666666666
Before times,From City,Saturday,13,18.6
Before times,From City,Saturday,14,23.8
Before times,From City,Saturday,15,18.133333333333333
Before times,From City,Saturday,16,14.933333333333334
Before times,From City,Saturday,17,6.466666666666667
Before times,From City,Saturday,18,5.533333333333333
Before times,From City,Saturday,19,4.733333333333333
Before times,From City,Saturday,20,1.6666666666666667
Before times,From City,Saturday,21,0.6
Before times,From City,Saturday,22,0.3333333333333333
Before times,From City,Saturday,23,0
Before times,To City,Sunday,0,0.26666666666666666
Before times,To City,Sunday,1,0.3333333333333333
Before times,To City,Sunday,2,0.13333333333333333
Before times,To City,Sunday,3,0
Before times,To City,Sunday,4,0
Before times,To City,Sunday,5,0
Before times,To City,Sunday,6,0.2
Before times,To City,Sunday,7,6.466666666666667
Before times,To City,Sunday,8,9.266666666666667
Before times,To City,Sunday,9,18.4
Before times,To City,Sunday,10,27.466666666666665
Before times,To City,Sunday,11,28.4
Before times,To City,Sunday,12,22.266666666666666
Before times,To City,Sunday,13,21.4
Before times,To City,Sunday,14,21.066666666666666
Before times,To City,Sunday,15,24.533333333333335
Before times,To City,Sunday,16,24.933333333333334
Before times,To City,Sunday,17,14.533333333333333
Before times,To City,Sunday,18,6.6
Before times,To City,Sunday,19,4.666666666666667
Before times,To City,Sunday,20,3.2666666666666666
Before times,To City,Sunday,21,1.1333333333333333
Before times,To City,Sunday,22,0.3333333333333333
Before times,To City,Sunday,23,0.2
Before times,To City,Monday,0,0
Before times,To City,Monday,1,0.06666666666666667
Before times,To City,Monday,2,0
Before times,To City,Monday,3,0
Before times,To City,Monday,4,0
Before times,To City,Monday,5,0.2
Before times,To City,Monday,6,2.066666666666667
Before times,To City,Monday,7,5.466666666666667
Before times,To City,Monday,8,9.066666666666666
Before times,To City,Monday,9,5.933333333333334
Before times,To City,Monday,10,7.066666666666666
Before times,To City,Monday,11,11.066666666666666
Before times,To City,Monday,12,15.933333333333334
Before times,To City,Monday,13,9.933333333333334
Before times,To City,Monday,14,17.266666666666666
Before times,To City,Monday,15,24.2
Before times,To City,Monday,16,60.46666666666667
Before times,To City,Monday,17,62.86666666666667
Before times,To City,Monday,18,21.666666666666668
Before times,To City,Monday,19,10.533333333333333
Before times,To City,Monday,20,4.533333333333333
Before times,To City,Monday,21,1.1333333333333333
Before times,To City,Monday,22,1.2
Before times,To City,Monday,23,0.06666666666666667
Before times,To City,Tuesday,0,0.3125
Before times,To City,Tuesday,1,0
Before times,To City,Tuesday,2,0
Before times,To City,Tuesday,3,0
Before times,To City,Tuesday,4,0
Before times,To City,Tuesday,5,0.3125
Before times,To City,Tuesday,6,2.3125
Before times,To City,Tuesday,7,4.8125
Before times,To City,Tuesday,8,7.625
Before times,To City,Tuesday,9,5.6875
Before times,To City,Tuesday,10,8.0625
Before times,To City,Tuesday,11,10.25
Before times,To City,Tuesday,12,11.9375
Before times,To City,Tuesday,13,13.5625
Before times,To City,Tuesday,14,13.3125
