Date,cases_per_arrival,fit,lwr,upr
2020-03-05,0.011786198361718427,0.002789089664902601,9.911935580389207e-4,0.007848135306949855
2020-03-06,0.011355893708834885,0.004426833031270689,0.0017632814517432674,0.011113852906111398
2020-03-07,0.017560290330133458,0.007015679250762988,0.003125603325048489,0.01574728147847192
2020-03-08,0.04216613457020661,0.011075850255601994,0.005499643669967578,0.022305892207965895
2020-03-09,0.006008532115604158,0.01736439949643472,0.009557231073557973,0.03154913463440322
2020-03-10,0.01815541031227306,0.026936071291614214,0.016306469113704914,0.04449472976446671
2020-03-11,0,0.04118079310685371,0.02714108358091604,0.06248305141736911
2020-03-12,0.03214813862277374,0.06180322497456846,0.04378117846107735,0.08724385115976001
2020-03-13,0.07743933918430562,0.09070227272348604,0.06802874517908529,0.12093273594196637
2020-03-14,0.05794488797321659,0.12971584446104392,0.10135092093808917,0.1660192147096535
2020-03-15,0.11306735583912131,0.18022764272825875,0.14450246734623853,0.22478511128502474
2020-03-16,0.31812064113544597,0.24268900575001284,0.19743965909353914,0.2983086264549628
2020-03-17,0.38380586851553794,0.31617369467445966,0.25939558069555846,0.3853797544894339
2020-03-18,0.5045278137128072,0.3981246123613094,0.32875731476039716,0.48212830514010685
2020-03-19,0.855683269476373,0.48443422116912355,0.402733321328194,0.5827094561378335
2020-03-20,0.6293610617047476,0.5699124231045217,0.47706211536334225,0.6808341294539636
2020-03-21,0.4600585529067336,0.6490635477622995,0.5460067859777844,0.7715718922418736
2020-03-22,0.5879822171231894,0.7169764144869,0.602981927411642,0.8525217018313007
2020-03-23,0.7897934386391251,0.7700863700650108,0.642198621878468,0.9234417470801307
2020-03-24,1.1220517517746738,0.8066176118566819,0.6608221680378311,0.9845795181013494
2020-03-25,0.6374722838137472,0.8266307353294723,0.6598858214216724,1.0355100085635844
2020-03-26,0.38461538461538464,0.8317270717407558,0.6432143335482622,1.0754889712272664
2020-03-27,0.8771929824561403,0.82454576162286,0.615634929803884,1.1043488276839697
2020-03-28,0.3537735849056604,0.8082097991592156,0.5816775724539226,1.1229641822037466
2020-03-29,0.36900369003690037,0.7858444740869089,0.5449598093768931,1.1332056544849403
2020-03-30,0.25380710659898476,0.7602342218325713,0.5080393429024856,1.1376206983172752
2020-03-31,1.9283746556473829,0.733629291020235,0.47251794898751326,1.1390296131524844
2020-04-01,1.0638297872340425,0.7076774190031864,0.43925170794812535,1.1401374662979245
2020-04-02,0,0.6834406643760139,0.40857954335999747,1.1432073614884226
2020-04-03,1.7647058823529411,0.6614585505812168,0.38052162720618293,1.1498095846729182
2020-04-04,0,0.6418282907973634,0.3549261494007701,1.1606458288952746
2020-04-05,0.9708737864077669,0.6242849295152111,0.33156123855500874,1.1754440142590805
2020-04-06,0.91324200913242,0.6082750292091585,0.3101607195904902,1.1929251120126276
2020-04-07,0,0.5930253983663383,0.29043844593965923,1.2108559594091004
2020-04-08,3.7735849056603774,0.57761282781968,0.27208658108104333,1.2262147494972229
2020-04-09,0,0.5610418503283255,0.2547701645074216,1.2354977217540786
2020-04-10,0,0.542335277548188,0.23812620020267228,1.2351751005262515
2020-04-11,0,0.5206370710847555,0.22177237993377102,1.2222575230903943
2020-04-12,4.545454545454546,0.4953199608441868,0.2053289348796062,1.194872333772841
2020-04-13,1.36986301369863,0.4660830298154848,0.18845610692551693,1.1527001922407256
2020-04-14,0,0.4330198950190701,0.17090750962175333,1.0971210679817927
2020-04-15,0,0.3966387566247554,0.15259408820619688,1.0309855716313592
2020-04-16,0,0.3578227920838572,0.1336435457095136,0.958049637600814
2020-04-17,0,0.3177320470334499,0.11442908287602144,0.8822377246651972
2020-04-18,0,0.277662430579258,0.09553856898418321,0.8069665076095591
2020-04-19,0,0.23888859855763053,0.07767221498898544,0.7347255711572207
2020-04-20,0,0.2025211899868198,0.061492528526191845,0.6669888745298201
2020-04-21,0,0.1694037361748669,0.04748186647235156,0.6043912752822045
2020-04-22,0,0.14006277290192387,0.035862248281326906,0.5470259477064232
2020-04-23,0,0.11471080120219122,0.02659761535928652,0.4947273556181548
2020-04-24,0,0.09329045918626458,0.019458464988824555,0.4472659986377391
2020-04-25,0.7352941176470588,0.07554246655053405,0.014109905508333492,0.4044438319709601
2020-04-26,0,0.06107989860743879,0.010190109572072208,0.3661152009709289
2020-04-27,0,0.04945544700714718,0.007363280375430731,0.33216733764992196
2020-04-28,0,0.040214075532971676,0.00534622671952542,0.3024884569644863
2020-04-30,0,0.027222275596129067,0.002902167694183961,0.25534440691235616
2020-05-01,0,0.022777262298060284,0.0021845399712509483,0.23748875489678145
