SA22018_V1_00,SA22018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
241600,Poets Block,1.24160609,1.24160609
241700,Brentwood (Upper Hutt City),0.98266197,0.98266197
241800,Silverstream (Upper Hutt City),2.64413739,2.64413739
241900,Elderslea,1.39533858,1.39533858
242000,Trentham North,1.02395903,1.02395903
242100,Totara Park,1.72409486,1.72409486
242200,Trentham South,8.12381624,8.12381624
242300,Mangaroa,154.5533874,154.5533874
242400,Ebdentown,0.91106542,0.91106542
242500,Wallaceville,0.69902563,0.69902563
242600,Maoribank,3.48528315,3.48528315
242700,Te Marua,5.57020885,5.57020885
242800,Pinehaven,5.59309645,5.59309645
242900,Clouston Park,1.15083213,1.15083213
243000,Upper Hutt Central,2.23589494,2.23589494
243100,Belmont Park,29.47168982,29.47168982
243200,Maungaraki,2.11021735,2.11021735
243300,Korokoro,1.84942909,1.84942909
243400,Kelson,5.35771738,5.35771738
243500,Normandale,1.44706416,1.44706416
243600,Belmont (Lower Hutt City),2.36254907,2.36254907
243700,Petone Central,1.29638936,1.29638936
243800,Tirohanga,1.18052999,1.18052999
243900,Manor Park,1.59231711,1.59231711
244000,Alicetown-Melling,1.25541859,1.25541859
244100,Taita North,1.1455903,1.1455903
244200,Boulcott,1.58246938,1.58246938
244300,Hutt Central North,1.07096977,1.07096977
244400,Avalon West,1.21086039,1.21086039
244500,Stokes Valley Central,1.48841305,1.48841305
244600,Taita South,3.39953471,3.39953471
244700,Petone East,1.63004745,1.63004745
244800,Hutt Central South,1.2941828,1.2941828
244900,Stokes Valley North,4.79616368,4.79616368
245000,Petone Esplanade,0.97436417,0.97436417
245100,Epuni West,0.98698623,0.98698623
245200,Avalon East,0.81383753,0.81383753
245300,Woburn,0.62488386,0.62488386
245400,Naenae Central,1.38216309,1.38216309
245500,Waterloo West,0.72699777,0.72699777
245600,Epuni East,1.00387735,1.00387735
245700,Gracefield,3.74696103,3.74696103
245800,Moera,0.62398201,0.62398201
245900,Delaney,2.0684293,2.0684293
246000,Waiwhetu,1.67972303,1.67972303
246100,Waterloo East,1.08141639,1.08141639
246200,Naenae North,2.61127292,2.61127292
246300,Manuka,1.31431633,1.31431633
246400,Naenae South,1.18214011,1.18214011
246500,Towai,5.00736114,5.00736114
246600,Arakura,1.9607986,1.9607986
246700,Eastern Bays,1.92632015,1.92632015
246800,Pencarrow,268.4150435,268.4150435
246900,Wainuiomata West,2.10679137,2.10679137
247000,Glendale,3.20897933,3.20897933
247100,Wainuiomata Central,1.26292959,1.26292959
247200,Eastbourne,1.92750114,1.92750114
247300,Homedale East,2.90986396,2.90986396
247400,Homedale West,1.31491148,1.31491148
247500,Makara-Ohariu,177.4890386,177.4890386
247600,Tawa North,1.44404946,1.44404946
247700,Linden,1.11756741,1.11756741
247800,Tawa South,2.54852315,2.54852315
247900,Tawa Central,1.53130127,1.53130127
248000,Grenada North,5.78954552,5.78954552
248100,Churton Park North,4.71049135,4.71049135
248200,Takapu-Horokiwi,19.10141036,19.10141036
248300,Churton Park South,1.25145963,1.25145963
248400,Johnsonville West,1.17618078,1.17618078
248500,Grenada Village,1.4520184,1.4520184
248600,Johnsonville North,0.89334346,0.89334346
248700,Paparangi,1.31381154,1.31381154
248800,Ngaio North,0.82389501,0.82389501
248900,Johnsonville Central,0.9524225,0.9524225
249000,Broadmeadows,0.64028777,0.64028777
249100,Crofton Downs,1.31053063,1.31053063
249200,Johnsonville South,0.7106867,0.7106867
249300,Khandallah Reserve,1.16554035,1.16554035
249400,Karori Park,2.02744246,2.02744246
249500,Newlands North,1.14810845,1.14810845
249600,Ngaio South,1.36956896,1.36956896
249700,Newlands South,5.67112734,5.67112734
249800,Woodridge,0.99000508,0.99000508
249900,Karori North,1.61965979,1.61965979
250000,Khandallah North,1.01843117,1.01843117
250100,Wilton,1.25819085,1.25819085
250200,Khandallah South,0.72508827,0.72508827
250300,Wadestown,1.43661137,1.43661137
250400,Karori South,1.40141398,1.40141398
250500,Onslow,0.7679549,0.7679549
250600,Karori East,1.22979795,1.22979795
250700,Pipitea-Kaiwharawhara,2.14855482,2.14855482
250800,Northland (Wellington City),1.26093,1.26093
250900,Thorndon,1.48299162,1.48299162
251000,Wellington Botanic Gardens,0.52539956,0.52539956
251100,Kelburn,0.49662318,0.49662318
251200,Aro Valley,1.24643552,1.24643552
251300,Wellington University,0.41698538,0.41698538
251400,Wellington Central,0.56013923,0.56013923
251500,Brooklyn North,1.24353232,1.24353232
251600,Dixon Street,0.30273105,0.30273105
251700,Vivian West,0.3700175,0.3700175
251800,Courtenay,0.32440939,0.32440939
251900,Brooklyn East,0.90513952,0.90513952
252000,Mount Cook West,0.61348428,0.61348428
252100,Vivian East,0.2863658,0.2863658
252200,Brooklyn South,1.82876796,1.82876796
252300,Oriental Bay,0.30283762,0.30283762
252400,Mount Cook East,0.43591165,0.43591165
252500,Mount Victoria,1.08074156,1.08074156
252600,Roseneath,0.5489541,0.5489541
252700,Owhiro Bay,4.05959514,4.05959514
252800,Kingston-Mornington-Vogeltown,0.98836206,0.98836206
252900,Newtown North,0.70094491,0.70094491
253000,Newtown West,0.66091113,0.66091113
253100,Hataitai North,1.06277295,1.06277295
253200,Evans Bay,0.35073762,0.35073762
253300,Berhampore,1.39707499,1.39707499
253400,Hataitai South,0.42817815,0.42817815
253500,Maupuia,1.95372589,1.95372589
253600,Newtown South,1.1943658,1.1943658
253700,Kilbirnie Central,0.97209153,0.97209153
253800,Island Bay West,1.16832643,1.16832643
253900,Melrose,0.33375271,0.33375271
254000,Island Bay East,0.98299994,0.98299994
254100,Miramar North,0.50735271,0.50735271
254200,Kilbirnie East,0.47662376,0.47662376
254300,Lyall Bay,0.54786346,0.54786346
254400,Miramar Central,0.53010265,0.53010265
254500,Southgate,0.46693203,0.46693203
254600,Karaka Bay-Worser Bay,0.6741591,0.6741591
254700,Houghton Bay,1.28794881,1.28794881
254800,Miramar East,0.84704212,0.84704212
254900,Miramar South,0.98411254,0.98411254
255000,Rongotai,1.9237004,1.9237004
255100,Strathmore (Wellington City),1.48293491,1.48293491
255200,Seatoun,1.32691884,1.32691884
255300,Kopuaranga,458.2526217,458.2526217
255400,Upper Plain,85.22871962,85.22871962
255500,Opaki,36.04228739,36.04228739
255600,Ngaumutawa,0.85307226,0.85307226
255700,Solway North,2.07587105,2.07587105
255800,Lansdowne West,2.26800445,2.26800445
255900,Masterton Central,1.76268904,1.76268904
256000,Kuripuni,1.25705596,1.25705596
256100,Douglas Park,1.20827639,1.20827639
256200,Solway South,6.38522861,6.38522861
256300,Lansdowne East,3.32618587,3.32618587
256400,Cameron and Soldiers Park,1.4863701,1.4863701
256500,Whareama,1596.027408,1596.027408
256600,Homebush-Te Ore Ore,103.1208823,103.1208823
256700,McJorrow Park,0.90130046,0.90130046
256800,Mount Holdsworth,432.8746369,432.8746369
256900,Carterton North,2.36091272,2.36091272
257000,Kokotau,120.4638213,120.4638213
